Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
125,121.67,LB45,Tyrice Knight,SEA,25,121,-,93,,
126,123.00,DE (DL62),Carl Granderson,NO,-,123,-,95,,
127,123.33,LB46,Demetrius Knight Jr,CIN,26,122,97,-,,
128,123.67,LB47,Danny Stutsman,NO,23,125,95,-,,
129,124.33,DT (DL63),Chris Jones,KC,31,126,-,96,,
130,125.00,DE (DL64),Bradley Chubb,BUF,29,135,126,114,,
131,125.33,DT (DL65),Derrick Harmon,PIT,-,130,106,140,,
132,127.33,DT (DL66),Milton Williams,NE,-,132,99,-,,
133,130.33,S (DB19),Jaquan Brisker,PIT,26,134,-,106,,
134,131.00,LB48,Germaine Pratt,IND,29,137,144,112,,
135,132.00,DT (DL67),Jonathan Allen,CIN,31,136,-,109,,
136,132.00,DE (DL68),Odafe Oweh,WAS,27,-,109,136,,
137,133.00,DE (DL69),Uchenna Nwosu,SEA,29,138,-,110,,
138,133.33,S (DB20),Jalen Thompson,DAL,27,-,-,98,,
139,133.33,LB49,SirVocea Dennis,TB,26,128,150,122,,
140,134.00,LB50,Ivan Pace Jr,MIN,25,140,-,111,,
141,135.00,S (DB21),Kyle Dugger,CIN,30,133,-,121,,
142,135.33,S (DB22),Talanoa Hufanga,DEN,26,143,112,-,,
143,136.00,LB51,Jaylon Carlies,IND,24,142,-,115,,
144,136.67,S (DB23),Xavier Watts,ATL,24,144,115,-,,
145,137.33,LB52,Eric Wilson,MIN,31,-,110,-,,
146,138.00,S (DB24),DeShon Elliott,PIT,28,145,-,118,,
147,138.00,S (DB25),Josh Metellus,MIN,-,148,146,120,,
148,138.67,DE (DL70),Josh Sweat,ARI,29,146,140,130,,
149,138.67,DL71,Gervon Dexter,CHI,24,147,118,-,,
150,140.00,LB53,Logan Wilson,FA,29,118,-,-,,
151,141.00,S (DB26),Cole Bishop,BUF,-,-,121,-,,
152,141.67,S (DB27),Brandon Jones,DEN,28,150,-,124,,
153,141.67,LB54,Omar Speights,LAR,25,-,123,-,,
154,142.00,LB55,Demario Davis,NYJ,37,-,124,-,,
155,142.33,LB56,Alex Anzalone,TB,32,-,125,-,,
156,142.33,LB57,Drue Tranquill,KC,30,-,-,125,,
157,142.67,S (DB28),Jeremy Chinn,LV,28,-,-,126,,
158,142.67,LB58,Barrett Carter,CIN,23,141,136,-,,
159,143.00,S (DB29),Jordan Battle,CIN,25,-,127,-,,
160,143.33,DE (DL72),Kwity Paye,LV,27,-,-,128,,
161,143.67,S (DB30),Kerby Joseph,DET,-,-,-,129,,
162,143.67,LB59,Cody Simon,ARI,-,-,129,-,,
163,144.33,DT (DL73),Osa Odighizuwa,DAL,27,-,131,-,,
164,144.33,DE (DL74),Lukas Van Ness,GB,24,-,-,131,,
165,144.67,LB60,Pete Werner,NO,26,-,-,132,,
166,145.00,S (DB31),Tre'von Moehrig,CAR,-,-,133,-,,
167,145.67,DE (DL75),Malcolm Koonce,LV,-,-,-,135,,
168,146.33,LB61,Kenneth Murray,DAL,27,-,-,137,,
169,146.33,LB62,Dorian Williams,BUF,24,-,137,-,,
170,146.67,DE (DL76),Harold Landry,FA,29,-,145,144,,
171,146.67,S (DB32),Jevon Holland,NYG,26,-,-,138,,
172,147.00,LB63,Devin White,LV,28,139,-,-,,
173,147.00,DT (DL77),Bryan Bresee,NO,24,-,-,139,,
174,147.00,DE (DL78),Nic Scourton,CAR,21,-,139,-,,
175,147.67,S (DB33),Grant Delpit,CLE,27,-,-,141,,
176,147.67,S (DB34),Kevin Winston Jr,TEN,22,-,141,-,,
177,148.00,LB64,Cody Barton,TEN,29,-,-,142,,
178,148.00,S (DB35),Reed Blankenship,PHI,-,-,142,-,,
179,148.33,DT (DL79),Cameron Heyward,PIT,36,-,143,-,,
180,148.33,DE (DL80),Joey Bosa,BUF,30,-,-,143,,
181,149.00,LB65,Kyzir White,ARI,30,-,-,145,,
182,149.00,S (DB36),Andrew Mukuba,PHI,23,-,147,149,,
183,149.33,DT (DL81),Christian Barmore,NE,26,-,-,146,,
184,149.67,S (DB37),Dadrion Taylor-Demerson,ARI,25,-,-,147,,
185,150.00,S (DB38),Jaden Hicks,KC,-,-,-,148,,
186,150.33,LB66,Christian Harris,HOU,25,-,149,-,,
187,150.33,LB67,Tatum Bethune,SF,25,149,-,-,,
