Rank,Team,Player,Fantasy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
45,BUF,James Cook,RB,3.06,7,26.5,287,620,893,"1,315","Cook erupted for a massive 18 total TDs in 2024. He posted another 14 scores this past fall, also supplying a career-high 1,621 rushing yards in 17 games. He inked a contract extension last August, keeping him under team control through the 2029 season.",44
46,DAL,George Pickens,WR,3.08,10,25.1,262,706,"1,157","2,174","Coming off his best season (93-1,429-9), the Cowboys applied the franchise tag to Pickens in February. A long-term extension in Dallas might be the best-case scenario for Pickens' dynasty value. Just entering his prime, Pickens is an ascending talent with a ton of fantasy appeal.",43
47,GB,Jordan Love,QB,5.01,5,27.4,288,887,"1,431","2,550","In 2025, Love missed two games for the second straight season. When healthy, he flashed with three overall QB2 fantasy finishes. However, he tallied only one other finish inside the top-10. Overall, Love’s volume continued to stay low relative to his breakout 2023. Green Bay also remains without a true No. 1 WR, although it’s a huge positive that Christian Watson has looked strong in his return from an ACL tear. Romeo Doubs joined New England in free agency, putting more pressure on Matthew Golden's development. Love is under contract through the 2028 season.",43
48,DEN,Bo Nix,QB,3.09,12,26.1,316,856,"1,395","2,603","As an older prospect at 24, Nix proved pro-ready alongside HC Sean Payton. Across 17 games, he tallied 3,775-29-12 -- plus 430-4 rushing. The 2025 offseason brought the arrival of veteran TE Evan Engram and Round 3 WR Pat Bryant, along with a new deal for Courtland Sutton. While Nix's play proved inconsistent, he still finished QB7 on a league-high 612 attempts. He also added 5 rushing TDs and finished tied for fifth in QB rush attempts. That aspect of Nix's game helps buoy his dynasty value.",42
49,SEA,Ernest Jones,LB,N/A,8,26.3,undefined,511,809,1378,,42
50,SEA,Nick Emmanwori,DB,33.12,8,22.2,undefined,594,974,1859,,42
51,TB,Emeka Egbuka,WR,4.01,9,23.5,220,664,"1,171","2,328","Egbuka got off to a hot start, averaging 16.1 PPR points per game and ranking inside the top-10 WRs in the first 10 weeks of his rookie season. However, he would only top 50 yards once and didn't score a TD in Tampa's final eight games. Those first 10 games show Egbuka's potential. With Mike Evans leaving as a free agent, Egbuka will be in a position to open his sophomore campaign as the Buccaneers' No. 1 WR. While Baker Mayfield returns, the Bucs brought in a new OC in Zac Robinson.",41
52,GB,Tucker Kraft,TE,5.10,5,25.4,228,634,"1,033","1,946","Kraft enjoyed a strong 2025 before a November ACL tear cost him his season. He ended the year going 32-489-6 in only 8 games. He not only flashed good hands, but Kraft also showed after-the-catch ability in his third season. He remains a young TE on an offense that loves to use the position. The 25-year-old is a top dynasty TE moving forward.",41
53,RK,Fernando Mendoza,QB,4.03,18,22.5,207,838,"1,411","2,828","Mendoza posted two straight 3,000-yard passing seasons at Cal and Indiana and is slated to join Vegas in the NFL Draft. He displays a strong arm and great mid-range accuracy while showing toughness in the pocket. Mendoza can scramble some too, which should help his fantasy output. He lacks the upside of recent top QBs like Caleb Williams, but Mendoza has the potential to be a top-10 fantasy QB.",41
54,KC,Kenneth Walker III,RB,4.11,10,25.4,264,572,871,"1,340","Walker encountered an up-and-down regular season in 2025, limited by Zach Charbonnet's goal line role. When Charbonnet suffered a torn ACL in the postseason, Walker stepped up for a productive run to the Super Bowl. This culminated in a 161-yard, MVP performance. Walker chose an ideal landing spot in free agency, joining a Chiefs offense that no longer rosters Kareem Hunt or Isiah Pacheco.",40
55,LVR,Quay Walker,LB,N/A,8,25.9,undefined,491,778,1325,,39
56,DAL,Dak Prescott,QB,4.08,10,32.7,327,863,"1,421","2,351","Dak’s 2024 was ruined by a hamstring injury that required surgery. But he rebounded with a healthy 2025 to post top-five fantasy totals (4,552 yards, 30 TDs, 10 INTs). We'll see about the status of George Pickens, but expect Dallas to retain him.",38
57,NYJ,Breece Hall,RB,4.12,9,24.8,245,559,852,"1,310","A largely ineffective Aaron Rodgers limited Hall in 2024, while the RB also battled through a knee injury. 2025 turned up even worse QB play, although Hall still posted a career-high 1,065 rushing yards. He returned to the Jets via the franchise tag, while his situation improved a bit with the arrival of Geno Smith. Still, it's reasonable to expect Hall to play elsewhere in 2027 and beyond.",38
58,RK,Kenyon Sadiq,TE,7.09,18,21.1,170,589,"1,015","2,059","Sadiq is an elite athlete who uses his footwork and leaping ability to get open and make catches. He is extremely tough to cover and can box out when contested. He led the Ducks in receptions this year despite numerous drops. Sadiq may not add much as a blocking presence, but he could be a top-15 pick with his ability as a receiver.",38
59,SF,Christian McCaffrey,RB,4.07,14,29.8,331,546,764,"1,237","CMC was excellent in 2023, finishing as the clear-cut RB1. Then came a nightmare 2024 that included multiple lower-body injuries (and only 50 total carries). He rebounded to a PPR RB1 finish in 2025, boosted by a huge 102 catches. Of equal importance: CMC played all 17 games. He'll play next season at 30, signaling some dynasty risk.",38
60,RK,Arvell Reese,LB,N/A,18,20.6,undefined,455,774,1614,,38
61,RK,CJ Allen,LB,N/A,18,21.1,undefined,459,793,1597,,38
62,MIA,Jordyn Brooks,LB,N/A,12,28.4,undefined,491,758,1210,,37
63,NO,Chris Olave,WR,3.11,11,25.8,267,665,"1,085","1,995","For only the second time in his career, Olave made it through 16 games. He capitalized with career highs in catches, yards, and TDs, finishing with a 100-1,163-9 line in Kellen Moore’s offense. The late-season QB play mattered, too: all three of his 100-yard games came with Tyler Shough under center. That combo gives Olave a sturdy setup for his age-26 season. He remains a strong WR2.",36
64,CLE,Quinshon Judkins,RB,5.05,9,22.4,208,534,838,"1,419","Judkins answered questions about his athleticism with a 4.48 40-yard dash at the NFL Combine and tied for second among RBs with a 1.52 10-yard split. His rookie season started nicely, but he was ultimately limited by a poor supporting cast. Judkins' season also ended with a Week 16 fibula fracture and ankle dislocation. Following surgery, he's expected to be ready for training camp, where he should retain lead-back work.",36
65,ATL,Kyle Pitts,TE,7.05,5,25.5,218,589,959,"1,805","Pitts rebounded in 2025, posting career highs in targets (118), catches (88), and TDs (5). He also played all 17 games for the third straight season. Atlanta placed the franchise tag on him over the winter, and we'll see if both sides can agree on a long-term deal.",36
66,PHI,Cooper DeJean,DB,40.02,9,23.2,undefined,546,892,1601,,36
67,CAR,Devin Lloyd,LB,N/A,14,27.5,undefined,471,738,1216,,36
68,LVR,Nakobe Dean,LB,N/A,8,25.3,undefined,465,748,1311,,36
69,LAC,Daiyan Henley,LB,N/A,12,26.4,undefined,472,747,1272,,36
70,RK,Caleb Downs,DB,14.10,18,21.3,undefined,534,877,1709,,35
71,HOU,C.J. Stroud,QB,7.04,6,24.5,285,811,"1,370","2,646","Stroud's fantasy points per game rebounded slightly from 2024 (18.2 vs. 17.0). Still, he wasn't asked to carry a team that fielded one of the NFL's top defenses. That played a part in Stroud posting only three top-12 fantasy finishes in 14 games. Nico Collins, Jayden Higgins, and Jaylin Noel supply a nice group of young weapons. Still, a lack of rushing production -- plus middling pass volume -- figures to stick around moving forward.",34
72,CIN,Tee Higgins,WR,6.01,10,27.3,240,674,"1,076","1,916","2025 was another strong season for Higgins. He topped double-digit TDs for the second consecutive year and ranked as the WR16, averaging 14.0 PPR points per game. However, he missed three games with concussions -- the fourth time in five seasons that he's missed multiple games. The Bengals are running it back in 2026, so Higgins remains an excellent WR2 who should continue to post reliable WR1/2 numbers when healthy.",34
73,TEN,Kevin Winston Jr.,DB,486.01,10,22.3,undefined,520,862,1672,,34
74,BAL,Zay Flowers,WR,6.06,7,25.6,254,664,"1,072","1,872","The Ravens disappointed in 2025, but Flowers still delivered a career year. He posted personal bests in targets (118), catches (86), and yards (1,211) while finishing as a top-10 fantasy WR for the first time. If Lamar Jackson stays healthy, Flowers has a good chance to repeat that level of production in 2026. Baltimore’s lack of pass-catching depth also points to another heavy role. The one variable is how Flowers is utilized in new OC Declan Doyle’s offense.",33
75,PHI,Saquon Barkley,RB,5.08,9,29.2,266,547,799,"1,095","2023 turned up an ugly QB situation and poor efficiency on strong volume. Barkley expressed interest in returning to New York but ultimately joined a superior environment in Philly. From there, he enjoyed a historic 2024 with 2,005 yards and 15 total TDs. 2025 marked a clear step back, as Barkley no longer delivered a steady dose of explosive plays. He's signed for three more seasons.",33
76,NYJ,Garrett Wilson,WR,4.04,9,25.7,233,645,"1,058","1,988","The Jets finished last in passing (140.3 yards per game) and 29th in scoring (17.6 points per game) last season. Predictably, Wilson's production plummeted. Injuries also contributed, as Wilson sprained his knee in Week 6, then re-injured it in Week 11. When he played, Wilson averaged 8.4 targets per game, which wasn't far off from 2024's average of 9.0. Before 2025, Wilson had not missed a game or failed to surpass 140 targets or 1,000 receiving yards in any season. He's still a dynamic talent entering his prime, but landing a legitimate QB will be paramount for Wilson's immediate and long-term value.",33
77,LAC,Ladd McConkey,WR,4.09,12,24.4,225,655,"1,083","1,940","The sophomore slump hit McConkey hard. After posting an impressive 2.59 yards per route run as a rookie, McConeky fell to 1.35 YPRR in Year Two. Keenan Allen also out-targted McConkey in 2025. Allen is a free agent, so there's reason to think McConkey can rebound in 2026. He's still a talented 24-year-old WR, making him a solid buy-low candidate alongside new OC Mike McDaniel.",33
78,GB,Josh Jacobs,RB,6.11,5,28.2,276,548,790,"1,018","Injuries impacted Jacobs' effectiveness in 2025, but he still posted back-end RB1 numbers with 16.1 PPR points per game. He'll play next year at 27 -- and with a sizable 1,840 career carries. He's signed through the 2027 season.",32
79,DET,Sam LaPorta,TE,6.08,8,25.3,230,562,903,"1,629","Sam LaPorta had strong volume early in the 2025, but a back inury placed on IR before Thanksgiving. His role in the Lions' offense appears set and he could even be a value if managers have forgotten about his talent due to the missed time. But on an offense with so many weapons, LaPorta won't be as consistent as the top dynasty TEs.",32
80,PHI,Zack Baun,LB,N/A,9,29.3,undefined,459,698,1059,,32
81,CIN,Chase Brown,RB,4.05,10,26,258,491,726,"1,188","After a quiet rookie year, Brown showed he belongs as a big piece of Cincy's backfield in 2024. He tallied 229-990-7 rushing -- plus 54-360-4 receiving. Brown notched similar numbers in 2025, despite significant missed time from Joe Burrow. 2026 turns up a contract season for the fourth-year RB.",30
82,RK,Makai Lemon,WR,5.09,18,21.8,210,613,"1,039","2,026","Lemon may be the best contested catcher in the draft despite standing 5'11, 195 pounds. He was utilized in the slot and outside at USC on his way to winning the Biletnikoff Award in 2025. Lemon's ball tracking and explosiveness after the catch make him a dangerous weapon. They also signal an impactful PPR WR for fantasy, especially with expected Round 1 draft capital.",30
83,RK,Dillon Thieneman,DB,16.02,18,21.7,undefined,491,804,1534,,30
84,CHI,Luther Burden III,WR,5.06,5,22.3,230,606,"1,026","1,973","Burden didn't play much in the first half of his rookie campaign, but starting in Week 10, he flashed fantasy upside. In his final eight games, Burden ranked second in Chicago's WR corps in target share (19%) and led the group in fantasy scoring with 11.4 PPR points per game. With DJ Moore in Buffalo, Burden has a chance to provide WR2 value in 2026 and beyond.",29
85,PHI,DeVonta Smith,WR,7.02,9,27.4,246,634,"1,027","1,838","Smith topped 1,000 yards for the third time in four seasons, but his target share fell from 28.6% (7th) to 24.3% (17th) in 2025. He also had a career-low four TDs. A.J. Brown's health certainly played a factor in the usage dip. Ultimately, Smith is a good No. 2 WR, but he tends to be erratic week-to-week for a low-volume passing game. If Brown sticks on the roster, Smith will retain a WR2 ceiling in the short term.",29
86,TB,Baker Mayfield,QB,6.04,9,31,291,822,"1,351","2,435","Baker's production reached new heights in 2024. Among the highlights: career-best marks in completion rate (71.4%), passing yards (4,500), and passing TDs (41). The addition of Round 1 WR Emeka Egbuka added optimism for 2025, but Baker's play fell off after a strong start. He finished QB12 in total fantasy points -- QB18 in PPG. Mike Evans signed with the 49ers after a 12-year run in Tampa Bay, but the pass-catching group remains in fine shape.",29
87,RK,Carnell Tate,WR,5.02,18,21.3,203,601,"1,027","2,068","He took a backseat to Ohio State phenom Jeremiah Smith, but Tate flashed elite hand-eye coordination and hands last season. Tate knows how to beat the press and isn't afraid to make tough catches over the middle. His height and range make Tate a potential top-15 NFL Draft pick who can immediately make a fantasy impact.",29
88,TB,Bucky Irving,RB,5.03,9,23.7,210,478,756,"1,245","Irving performed as one of the most elusive RBs in the 2024 class. From 2022 to 2023, he forced a missed tackle every 2.5 carries – a terrific mark. That elusiveness translated to the pros right away, as he tallied 5.4 yards per carry and 1,513 total yards. 2025 wasn't as friendly, as he missed six games with a foot injury and slotted just 18th in PPR points per game. In 2026, he'll likely see his volume capped by free agent addition Kenneth Gainwell, who posted 73 catches with the Steelers last season.",29
89,DET,Jared Goff,QB,6.05,8,31.5,303,847,"1,366","2,279","Leaning on OC Ben Johnson and an all-star cast, Goff set career highs in completion rate (72.4%) and passing TDs (37) in 2024. Goff's numbers predictably dipped after Johnson left to coach the Bears. Still, the veteran finished a solid QB6 in 17 games. While he'll break in another OC in 2026 -- Drew Petzing -- he'll remain surrounded by plenty of talent. Goff should remain a useful fantasy piece in the short term.",28
90,PHI,A.J. Brown,WR,5.12,9,28.8,262,637,"1,009","1,735","Brown posted his fourth consecutive season with 1,000-plus yards. He also scored 7 TDs for the third-straight season, but his overall fantasy scoring dropped by two points per game. Overall, Brown is still in his prime and locked into Philadelphia through the 2029 season. He remains a quality WR 2 with top-5 weekly upside.",28
91,DEN,Jaylen Waddle,WR,7.07,12,27.3,236,637,"1,017","1,811","Tyreek Hill missed most of 2025, but Waddle still could not recapture the production he posted over his first three seasons. Poor QB play drove much of that decline. Now, that aspect of his profile looks better after a March trade to Denver. He projects as a co- No. 1 WR alongside Courtland Sutton.",28
92,NO,Tyler Shough,QB,7.06,11,26.5,296,800,"1,315","2,521","Shough started 2025 as the No. 2 QB behind Spencer Rattler. But the rookie eventually earned the starting gig and played well enough to keep the job into 2026. Shough tallied a 67.6% completion rate, 7.3 yards per attempt, and engineered three game-winning drives for a talent-thin Saints offense. Shough also supplied some rushing upside with a 45-186-3 line. Now, the key will be adding WR talent alongside Chris Olave.",28
