player,pos,assetClass,boardRank,value,A_rankings_EdgeCol(marketAction),B_rankings_SignalCol(actionLabel+cautions),C_rankings_EdgeRail,D_edge_offense_section,E_edge_IDP_verb(idpMarketAction),F_signalsPanel_JS(signal-engine.js),G_api_terminal_PY(_evaluate_signal),H_api_movers,I_bdvm_signal,J_consensus_edge_label,K_trade_suggestions,L_sharp_market,backend_marketGapDirection,marketGapMagnitude,sourceRankSpread,confidenceBucket,trend7,trend30
Terrance Ferguson,TE,offense,167,3054,SELL,Caution: wide disagreement,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",retail_premium,49.38461538461539,112,low,null,null
Carson Schwesinger,LB,idp,42,5908,—,—,not listed,IDP SELL,SELL,HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,94,high,null,null
Tyrel Dodson,LB,idp,419,1632,—,Caution: wide disagreement,not listed,not listed,—,HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,115,low,null,null
Aidan Hutchinson,DL,idp,36,6362,—,Consensus asset,not listed,not listed,HOLD,HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,0,high,null,null
Jalen Redmond,DL,idp,400,1685,—,—,not listed,not listed,SELL,HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,40,medium,null,null
Caleb Downs,DB,idp,150,3159,—,—,not listed,IDP SELL,SELL,HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,285,medium,null,null
Emmanuel McNeil-Warren,DB,idp,403,1680,—,—,not listed,not listed,—,HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,110,low,null,null
Justin Herbert,QB,offense,21,7684,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,3.916666666666668,17,high,null,null
Omar Cooper,WR,offense,120,3637,BUY,—,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,29,54,medium,null,null
Mike Gesicki,TE,offense,304,1999,SELL,Caution: wide disagreement,not listed,not listed,n/a (offense/pick),HOLD,HOLD,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",retail_premium,35.833333333333314,236,low,null,null
2026 Pick 1.01,PICK,pick,,7799,—,Caution: single source,not listed,not listed,n/a (offense/pick),not on any roster,not on any roster,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",none,,,low,,
2027 Early 1st,PICK,pick,28,7049,HOLD,Consensus asset,not listed,not listed,n/a (offense/pick),not on any roster,not on any roster,EMPTY (no history),n/a (no projection snapshot),"n/a (flag off, 503)",none emitted (0 suggestions),"n/a (cohort_building, 0 assets)",consensus_premium,1,1,high,,
