Rank,Team,Player,Fantsy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
15,RK,Fernando Mendoza,QB,4.03,18,22.5,0,937.00,1577.00,3161.00,"Mendoza posted two straight 3,000-yard passing seasons at Cal and Indiana and is slated to join Vegas in the NFL Draft. He displays a strong arm and great mid-range accuracy while showing toughness in the pocket. Mendoza can scramble some too, which should help his fantasy output. He lacks the upside of recent top QBs like Caleb Williams, but Mendoza has the potential to be a top-10 fantasy QB.",62.60
16,LVR,Ashton Jeanty,RB,2.05,8,22.3,0,638.00,1053.00,1837.00,"Jeanty went from a 1,900-yard sophomore season to a 2,700-yard junior season. His college tape showed elite contact balance, burst, and receiving ability. Arriving as the sixth overall pick, Jeanty showed elite flashes, most notably in a Week 16 game at Houston. Overall, Jeanty's effectiveness was limited by poor O-line and QB play. 2026 will bring major offensive changes, although Jeanty still projects as a workhorse.",59.70
17,GB,Jordan Love,QB,5.01,5,27.4,0,964.00,1557.00,2773.00,"In 2025, Love missed two games for the second straight season. When healthy, he flashed with three overall QB2 fantasy finishes. However, he tallied only one other finish inside the top-10. Overall, Love’s volume continued to stay low relative to his breakout 2023. Green Bay also remains without a true No. 1 WR, although it’s a huge positive that Christian Watson has looked strong in his return from an ACL tear. Romeo Doubs joined New England in free agency, putting more pressure on Matthew Golden's development. Love is under contract through the 2028 season.",58.80
18,IND,Jonathan Taylor,RB,3.03,11,27.3,0,691.00,1012.00,1406.00,"Taylor missed three games in 2024 but remained busy on a per-game basis, averaging 23 touches. The former Round 2 pick then went off for a HUGE 2025 that included 323 carries, 1,585 yards, and 18 TDs. He added a career-high 46 catches and 378 yards. Now, Taylor's huge career workload makes him a candidate for an early decline. In the short-term, though, this Indy offense should remain centered on the run. JT is signed for one more season.",57.60
19,JAC,Trevor Lawrence,QB,3.07,8,26.5,0,908.00,1495.00,2909.00,"A shoulder injury limited Lawrence to only 10 games in 2024. Then in 2025, he rebounded tremendously under new HC Liam Coen. Lawrence tallied 4,007-29-12 -- plus nine rushing TDs. That propelled him to an overall QB4 fantasy finish. Lawrence's huge season came despite only seven games alongside rookie WR Travis Hunter. We also saw WR Brian Thomas Jr. take a major step back. Veteran Jakobi Meyers stepped up following a mid-season trade, as the team extended him through the 2028 season. Regardless of the pieces, Lawrence's stock is clearly on the rise.",57.20
20,SEA,Jaxon Smith-Njigba,WR,1.07,8,24.2,0,618.00,1007.00,1860.00,"JSN took another step forward in his third season, finishing as WR2 in PPR points per game (21.3). Even on a Seahawks offense that wanted to lean on the run, JSN remained dominant. His route running and athleticism leave him open on most passing plays, which led to 163 targets from Sam Darnold. At only 24 years old, JSN is one of the top players in dynasty. ",57.10
21,PHI,Jalen Hurts,QB,3.01,9,27.7,0,961.00,1538.00,2627.00,"Hurts set a career-high in passing TDs in 2025. However, his rushing production took a hit, leading to a career low in fantasy points per game. Hurts did manage to avoid missing time after a concussion cost him two games in 2024. He'll also enter 2026 with A.J. Brown, DeVonta Smith, and Saquon Barkley under contract. Dallas Goedert is slated for free agency.",57.00
22,LAC,Omarion Hampton,RB,2.09,12,23.1,0,640.00,1008.00,1714.00,"Hampton carried the North Carolina offense for two years -- 2023-2024 -- including one year when Drake Maye was the QB. The former four-star recruit tallied two straight years of 1,500+ rushing yards and 15 TDs, and he adds solid receiving potential. A shifty runner who can hit the home run, Hampton showed his athleticism by crushing the Combine with a 4.48 40-yard dash and a 38"" vertical. While he landed in a dreamy spot with HC Jim Harbaugh and the Chargers, Hampton made only nine appearances due to an ankle fracture. If healthy, an RB1 season is in reach for '26 and beyond.",56.80
23,MIN,Justin Jefferson,WR,2.04,6,26.8,0,628.00,1019.00,1867.00,"The 2025 season marked a low point for Jefferson, at least by his standards. He finished WR31 in PPR points per game at 11.9 while dealing with a three-man QB rotation of JJ McCarthy, Carson Wentz, and Max Brosmer. Jefferson still reached 1,000 receiving yards again, stretching that streak to seven seasons. He remains in the thick of his prime. Plus, Kyler Murray arrived in March to bolster the QB room.",56.70
24,LAR,Puka Nacua,WR,1.06,8,24.8,0,591.00,968.00,1811.00,"Nacua delivered a career year in 2025, finishing as the PPR WR1 with 377 fantasy points. Matthew Stafford fed him 166 targets, making Nacua the clear centerpiece of the Rams’ passing game. At 24, he remains locked in as one of dynasty’s top WRs. The one thing keeping him from the top overall spot is the long-term uncertainty at QB.",55.70
25,DAL,CeeDee Lamb,WR,2.07,10,27,0,609.00,983.00,1790.00,"Lamb shared the spotlight with George Pickens, but he was still productive. He finished 2025 as WR10 in PPR points per game at 15.5. Lamb did have a short stint on IR after an AC joint sprain, but he remains an upside fantasy asset when healthy. At only 26, Lamb should be a fantasy mainstay for a long time. ",54.70
26,LVR,Brock Bowers,TE,2.01,8,23.3,0,598.00,973.00,1734.00,"Bowers disappointed in 2025 while dealing with a knee injury. He only played in 12 games and finished with 64-680-7 receiving. The talent is still undeniable, and Bowers should rebound alongside Fernando Mendoza in 2026.",53.50
27,GB,Edgerrin Cooper,LB,N/A,5,24.4,0,579.00,935.00,1697.00,"",53.00
28,DET,Amon-Ra St. Brown,WR,1.09,8,26.4,0,589.00,949.00,1728.00,"The Lions faltered in 2025, but St. Brown kept producing. He ranked fourth in PPR points per game at 19.1. He also ranked second in the league in targets at 172. St. Brown and Jared Goff are both signed through the 2028 season.",52.70
29,MIA,De'Von Achane,RB,2.08,12,24.5,0,614.00,948.00,1515.00,"Achane's rushing efficiency hit a snag in 2024. But his receiving work went through the roof: 78 catches, 592 yards, and 6 TDs. Another easy RB1 season surfaced in 2025, although he'll now hit Year 4 alongside a new QB and HC -- and a rebuilding roster.",52.70
30,ARI,Trey McBride,TE,2.03,8,26.3,0,574.00,934.00,1736.00,"McBride had a dominant 2025, breaking the single-season TE receptions record in Week 17. His fantasy season ended at 119-1174-11. QB play is a minor issue in the short term, but there's no doubt McBride remains an elite dynasty TE. ",52.60
31,NYG,Malik Nabers,WR,1.12,14,22.7,0,573.00,970.00,1893.00,"A 25-target start over the first two games hinted at a huge 2025 for Nabers. Then a torn ACL cut the year short. The injury could cap his early-season impact in 2026, but the long-term dynasty outlook still looks strong. Nabers remains a premium talent tied to rising QB Jaxson Dart.",52.50
32,PHI,Jihaad Campbell,LB,N/A,9,22.1,0,555.00,938.00,1813.00,"",52.40
33,ATL,Drake London,WR,2.10,5,24.7,0,571.00,939.00,1797.00,"London started the season hot but missed four games with a PCL strain. He still ended as the WR8 in PPR points per game at 16.8. Atlanta's current WR corps suggests another high-volume role in 2026. Only 25, London projects as a long-term WR1.",51.70
34,DET,Jack Campbell,LB,N/A,8,25.6,0,575.00,910.00,1551.00,"",51.50
35,NYJ,Jamien Sherwood,LB,N/A,9,26.3,0,572.00,906.00,1543.00,"",51.10
36,CHI,Caleb Williams,QB,2.02,5,24.4,0,874.00,1452.00,2831.00,"Williams showed the ability to make high-end throws as a rookie. But his tendency to hold the ball and take sacks led to a wildly inconsistent campaign. Fortunately, an improved O-line and an upgraded pass-catching corps arrived last offseason and immediately paid dividends. TE Colston Loveland and WR Luther Burden really showed promise and supply long-term building blocks. Williams should only improve as he gains time in HC Ben Johnson's system.",51.00
37,NE,TreVeyon Henderson,RB,4.06,14,23.4,0,599.00,948.00,1564.00,"Henderson was highly recruited and showed top-end traits at Ohio State, particularly his burst and pass-catching ability. He ran as expected at the Combine with a 4.43 40-yard dash and tied for second among RBs with a 1.52 10-yard split. Henderson appeared in all 17 games as a rookie but wasn't a major contributor until midseason. (He finished as a top-25 PPR back in seven of his final nine games.) An elite QB and an improved O-line only add value here.",50.90
38,HOU,Nico Collins,WR,3.10,6,27.1,0,572.00,926.00,1712.00,"Collins finished WR11 in PPR points per game in 2025 (15.1). Houston's struggles on offense made for a volatile season, but Collins came on late with C.J. Stroud and Davis Mills. He was a top-12 WR in a struggling offense, so the potential for even better results exists over the next few years. Collins is under contract through the 2027 season.",50.60
39,KC,Nick Bolton,LB,N/A,10,26.1,0,550.00,871.00,1484.00,"",48.10
40,BUF,James Cook,RB,3.06,7,26.5,0,570.00,821.00,1210.00,"Cook erupted for a massive 18 total TDs in 2024. He posted another 14 scores this past fall, also supplying a career-high 1,621 rushing yards in 17 games. He inked a contract extension last August, keeping him under team control through the 2029 season.",46.80
41,SEA,Sam Darnold,QB,7.08,8,28.8,0,901.00,1464.00,2799.00,"Darnold followed up his breakout 2024 with a solid '25. The former third overall pick threw for 4,048 yards, 25 TDs, and 14 INTs with a 67.6% completion rate. He finished QB13 in total fantasy points; QB20 in points per game. We don't see a high ceiling here, but Darnold should supply serviceable fantasy totals in the near term. Seattle retained Rashid Shaheed on a multi-year deal.",46.50
42,DET,Jared Goff,QB,6.05,8,31.5,0,918.00,1481.00,2470.00,"Leaning on OC Ben Johnson and an all-star cast, Goff set career highs in completion rate (72.4%) and passing TDs (37) in 2024. Goff's numbers predictably dipped after Johnson left to coach the Bears. Still, the veteran finished a solid QB6 in 17 games. While he'll break in another OC in 2026 -- Drew Petzing -- he'll remain surrounded by plenty of talent. Goff should remain a useful fantasy piece in the short term.",46.20
43,CHI,Colston Loveland,TE,3.05,5,22,0,467.00,782.00,1502.00,"Loveland flashed elite potential in 2025, especially after a late-season injury to Rome Odunze. With DJ Moore off to Buffalo, Loveland's role should only grow in 2026 and beyond. He'll play his second season at only 22 years old.",45.40
44,KC,Kenneth Walker III,RB,4.11,10,25.4,0,545.00,829.00,1275.00,"Walker encountered an up-and-down regular season in 2025, limited by Zach Charbonnet's goal line role. When Charbonnet suffered a torn ACL in the postseason, Walker stepped up for a productive run to the Super Bowl. This culminated in a 161-yard, MVP performance. Walker chose an ideal landing spot in free agency, joining a Chiefs offense that no longer rosters Kareem Hunt or Isiah Pacheco.",45.10
45,SF,Brock Purdy,QB,3.12,14,26.3,0,859.00,1409.00,2699.00,"Purdy missed a chunk of early-season games with turf toe. But he rebounded to finish as the QB4 in total points from Week 11 on. Purdy benefits from HC stability and a solid group of pass catchers, although Christian McCaffrey and George Kittle are likely nearing the end of their prime. San Francisco also added veteran Mike Evans on a multi-year deal. Purdy is under contract through the 2030 season.",44.80
46,IND,Tyler Warren,TE,4.02,11,23.8,0,466.00,769.00,1451.00,"Warren's 2025 was a tale of two seasons. He dominated for the first half of the year, achieving top-5 TE numbers in PPR. But an injury to Daniel Jones led to an awful late-season surge for the rookie. Zooming out, the future still looks bright here, especially after the trade of Michael Pittman. Warren should be a featured part of the passing game moving forward. ",44.70
47,CLE,Quinshon Judkins,RB,5.05,9,22.4,0,528.00,829.00,1404.00,"Judkins answered questions about his athleticism with a 4.48 40-yard dash at the NFL Combine and tied for second among RBs with a 1.52 10-yard split. His rookie season started nicely, but he was ultimately limited by a poor supporting cast. Judkins' season also ended with a Week 16 fibula fracture and ankle dislocation. Following surgery, he's expected to be ready for training camp, where he should retain lead-back work.",44.70
48,DEN,Bo Nix,QB,3.09,12,26.1,0,868.00,1416.00,2642.00,"As an older prospect at 24, Nix proved pro-ready alongside HC Sean Payton. Across 17 games, he tallied 3,775-29-12 -- plus 430-4 rushing. The 2025 offseason brought the arrival of veteran TE Evan Engram and Round 3 WR Pat Bryant, along with a new deal for Courtland Sutton. While Nix's play proved inconsistent, he still finished QB7 on a league-high 612 attempts. He also added 5 rushing TDs and finished tied for fifth in QB rush attempts. That aspect of Nix's game helps buoy his dynasty value.",44.30
49,DAL,George Pickens,WR,3.08,10,25.1,0,510.00,837.00,1572.00,"Coming off his best season (93-1,429-9), the Cowboys applied the franchise tag to Pickens in February. A long-term extension in Dallas might be the best-case scenario for Pickens' dynasty value. Just entering his prime, Pickens is an ascending talent with a ton of fantasy appeal. ",44.00
50,CLE,Harold Fannin Jr.,TE,4.10,9,21.7,0,416.00,765.00,1578.00,"Fannin not only took over the No. 1 TE spot -- he became the No. 1 offensive weapon for the Browns. He ended the 2025 fantasy season 72-731-6 on 107 targets, and that was playing with three different QBs. He enters 2026 at age 22 with his best days ahead.",43.80
51,DAL,Dak Prescott,QB,4.08,10,32.7,0,887.00,1460.00,2415.00,"Dak’s 2024 was ruined by a hamstring injury that required surgery. But he rebounded with a healthy 2025 to post top-five fantasy totals (4,552 yards, 30 TDs, 10 INTs). We'll see about the status of George Pickens, but expect Dallas to retain him.",43.00
52,CAR,Tetairoa McMillan,WR,3.04,14,23,0,494.00,836.00,1631.00,"McMillan enjoyed a successful first season, finishing as the WR23 in fantasy points per game (12.6). The Panthers went run-heavy under QB Bryce Young, who struggled to provide consistency in the passing game. Still, McMillan was the clear No. 1 for a team short on receiving depth. He flashed excellent body control and improved as the season went on. There is star-level, top-tier potential with McMillan, who's only 23 years old. ",42.90
53,GB,Tucker Kraft,TE,5.10,5,25.4,0,446.00,726.00,1367.00,"Kraft enjoyed a strong 2025 before a November ACL tear cost him his season. He ended the year going 32-489-6 in only 8 games. He not only flashed good hands, but Kraft also showed after-the-catch ability in his third season. He remains a young TE on an offense that loves to use the position. The 25-year-old is a top dynasty TE moving forward. ",42.30
54,SEA,Ernest Jones,LB,N/A,8,26.3,0,511.00,809.00,1378.00,"",42.30
55,SEA,Nick Emmanwori,DB,N/A,8,22.2,0,594.00,974.00,1859.00,"",42.10
56,KC,Rashee Rice,WR,5.04,10,25.9,0,477.00,779.00,1433.00,"Rice started 2025 with a six-game suspension and ended the season on IR with a concussion. In his eight games, he was consistently targeted by Patrick Mahomes, finishing as the WR5 in PPR points per game (18.5). Outside of injury risk, Rice appears to be the clear No. 1 WR on the Chiefs, and the scheme has been built to utilize his talents. We'll see what comes of his off-field issues, which include domestic abuse allegations.",40.90
57,PHI,Saquon Barkley,RB,5.08,9,29.2,0,521.00,760.00,1042.00,"2023 turned up an ugly QB situation and poor efficiency on strong volume. Barkley expressed interest in returning to New York but ultimately joined a superior environment in Philly. From there, he enjoyed a historic 2024 with 2,005 yards and 15 total TDs. 2025 marked a clear step back, as Barkley no longer delivered a steady dose of explosive plays. He's signed for three more seasons.",40.80
58,RK,Kenyon Sadiq,TE,7.09,18,21.1,0,412.00,711.00,1443.00,"Sadiq is an elite athlete who uses his footwork and leaping ability to get open and make catches. He is extremely tough to cover and can box out when contested. He led the Ducks in receptions this year despite numerous drops. Sadiq may not add much as a blocking presence, but he could be a top-15 pick with his ability as a receiver.",40.40
59,SF,Christian McCaffrey,RB,4.07,14,29.8,0,487.00,682.00,1104.00,"CMC was excellent in 2023, finishing as the clear-cut RB1. Then came a nightmare 2024 that included multiple lower-body injuries (and only 50 total carries). He rebounded to a PPR RB1 finish in 2025, boosted by a huge 102 catches. Of equal importance: CMC played all 17 games. He'll play next season at 30, signaling some dynasty risk.",39.60
60,LVR,Quay Walker,LB,N/A,8,25.9,0,491.00,778.00,1325.00,"",39.40
61,GB,Josh Jacobs,RB,6.11,5,28.2,0,510.00,735.00,948.00,"Injuries impacted Jacobs' effectiveness in 2025, but he still posted back-end RB1 numbers with 16.1 PPR points per game. He'll play next year at 27 -- and with a sizable 1,840 career carries. He's signed through the 2027 season.",39.20
62,RK,Arvell Reese,LB,N/A,18,20.6,0,455.00,774.00,1614.00,"",38.40
63,RK,CJ Allen,LB,N/A,18,21.1,0,459.00,793.00,1597.00,"",38.30
64,ATL,Kyle Pitts,TE,7.05,5,25.5,0,397.00,647.00,1218.00,"Pitts rebounded in 2025, posting career highs in targets (118), catches (88), and TDs (5). He also played all 17 games for the third straight season. Atlanta placed the franchise tag on him over the winter, and we'll see if both sides can agree on a long-term deal.",38.20
65,NYJ,Breece Hall,RB,4.12,9,24.8,0,479.00,730.00,1123.00,"A largely ineffective Aaron Rodgers limited Hall in 2024, while the RB also battled through a knee injury. 2025 turned up even worse QB play, although Hall still posted a career-high 1,065 rushing yards. He returned to the Jets via the franchise tag, while his situation improved a bit with the arrival of Geno Smith. Still, it's reasonable to expect Hall to play elsewhere in 2027 and beyond.",38.20
66,TB,Emeka Egbuka,WR,4.01,9,23.5,0,436.00,769.00,1528.00,"Egbuka got off to a hot start, averaging 16.1 PPR points per game and ranking inside the top-10 WRs in the first 10 weeks of his rookie season. However, he would only top 50 yards once and didn't score a TD in Tampa's final eight games. Those first 10 games show Egbuka's potential. With Mike Evans leaving as a free agent, Egbuka will be in a position to open his sophomore campaign as the Buccaneers' No. 1 WR. While Baker Mayfield returns, the Bucs brought in a new OC in Zac Robinson. ",37.90
67,RK,Makai Lemon,WR,5.09,18,21.8,0,453.00,768.00,1498.00,"Lemon may be the best contested catcher in the draft despite standing 5'11, 195 pounds. He was utilized in the slot and outside at USC on his way to winning the Biletnikoff Award in 2025. Lemon's ball tracking and explosiveness after the catch make him a dangerous weapon. They also signal an impactful PPR WR for fantasy, especially with expected Round 1 draft capital.",37.50
68,NYG,Jaxson Dart,QB,2.11,14,22.9,0,811.00,1376.00,2722.00,"Dart flashed his arm talent as a true freshman at USC, but he was fully unlocked in 2024 at Ole Miss. He completed 69.3% of his passes for 4,279 yards, 29 TDs, and 6 INTs. With a quick release and improved coverage recognition, Dart quickly showed the potential to stick as an NFL starter. He also adds plenty of mobility to make a fantasy impact moving forward. While durability issues persist, Dart certainly carries top-10 potential if the Giants continue upgrading the offense. ",37.40
69,LAR,Matthew Stafford,QB,8.04,8,38.2,0,943.00,1422.00,2127.00,"Stafford is under contract through the 2026 season and continued to look excellent in 2025. He finished the regular season with 4,707 yards and a career-high 46 TD passes. He'll play next season at 38 years old.",37.40
70,DET,Jameson Williams,WR,6.09,8,25,0,469.00,766.00,1387.00,"It took HC Dan Campbell's play-calling to finally unlock Williams, but he showed promise once he became a featured part of Detroit's offense. Under Campbell's playcalling, Williams averaged 16.1 PPR points per game (WR5) and posted three of his four 100-yard performances. Williams remains an elite deep threat, but he also ran the fifth-most routes in '25. He's improved every season and showcased why he should be an important part of Detroit's future. He's signed through the 2029 season.",37.30
71,MIA,Malik Willis,QB,8.08,12,26.8,0,884.00,1415.00,2418.00,"Willis has proven effective as a spot-starter for Green Bay over the past two seasons. He peaked in Week 17 of last season with a 36.4-point fantasy effort vs. Baltimore. Now in Miami, Willis has a chance to establish himself as the starter for multiple seasons. The bulk of his fantasy appeal comes from high-end rushing upside.",37.10
72,RK,Carnell Tate,WR,5.02,18,21.3,0,442.00,755.00,1521.00,"He took a backseat to Ohio State phenom Jeremiah Smith, but Tate flashed elite hand-eye coordination and hands last season. Tate knows how to beat the press and isn't afraid to make tough catches over the middle. His height and range make Tate a potential top-15 NFL Draft pick who can immediately make a fantasy impact.",37.10
73,DET,Sam LaPorta,TE,6.08,8,25.3,0,384.00,617.00,1112.00,"Sam LaPorta had strong volume early in the 2025, but a back inury placed on IR before Thanksgiving. His role in the Lions' offense appears set and he could even be a value if managers have forgotten about his talent due to the missed time. But on an offense with so many weapons, LaPorta won't be as consistent as the top dynasty TEs.",37.00
74,MIA,Jordyn Brooks,LB,N/A,12,28.4,0,491.00,758.00,1210.00,"",37.00
75,LAR,Kyren Williams,RB,6.03,8,25.6,0,446.00,689.00,1182.00,"Williams further solidified himself as a top RB in 2024, logging 1,481 scrimmage yards and 16 TDs. L.A. spent a Round 3 pick on Blake Corum, but he was lightly used throughout the season. Williams signed an extension in August of '25, but Corum earned a larger piece of the backfield work. Still, Williams delivered 1,252 yards and hit double-digit TDs for the third straight season. We expect similar backfield usage in 2026.",37.00
76,CIN,Tee Higgins,WR,6.01,10,27.3,0,468.00,747.00,1331.00,"2025 was another strong season for Higgins. He topped double-digit TDs for the second consecutive year and ranked as the WR16, averaging 14.0 PPR points per game. However, he missed three games with concussions -- the fourth time in five seasons that he's missed multiple games. The Bengals are running it back in 2026, so Higgins remains an excellent WR2 who should continue to post reliable WR1/2 numbers when healthy. ",36.80
77,PHI,Cooper DeJean,DB,N/A,9,23.2,0,546.00,892.00,1601.00,"",36.40
78,RK,Jordyn Tyson,WR,6.07,18,21.7,0,434.00,741.00,1491.00,"Tyson excelled at Arizona State in 2024, notching 74 catches for 1,101 yards and 10 TDs. He looked headed for another big year in 2025 after scoring 7 TDs in five games, but a hamstring injury ruined those plans. That setback adds to an extensive injury history that includes a torn ACL, PCL, and MCL in 2022, plus a broken collarbone in 2024. When healthy, Tyson shows good size, runs well enough to separate, and creates after the catch. That combination gives him top-20 potential in the NFL Draft.",35.90
79,NO,Chris Olave,WR,3.11,11,25.8,0,441.00,719.00,1322.00,"For only the second time in his career, Olave made it through 16 games. He capitalized with career highs in catches, yards, and TDs, finishing with a 100-1,163-9 line in Kellen Moore’s offense. The late-season QB play mattered, too: all three of his 100-yard games came with Tyler Shough under center. That combo gives Olave a sturdy setup for his age-26 season. He remains a strong WR2.",35.80
80,CAR,Devin Lloyd,LB,N/A,14,27.5,0,471.00,738.00,1216.00,"",35.70
81,TB,Bucky Irving,RB,5.03,9,23.7,0,440.00,696.00,1147.00,"Irving performed as one of the most elusive RBs in the 2024 class. From 2022 to 2023, he forced a missed tackle every 2.5 carries – a terrific mark. That elusiveness translated to the pros right away, as he tallied 5.4 yards per carry and 1,513 total yards. 2025 wasn't as friendly, as he missed six games with a foot injury and slotted just 18th in PPR points per game. In 2026, he'll likely see his volume capped by free agent addition Kenneth Gainwell, who posted 73 catches with the Steelers last season.",35.70
82,LVR,Nakobe Dean,LB,N/A,8,25.3,0,465.00,748.00,1311.00,"",35.50
83,LAC,Daiyan Henley,LB,N/A,12,26.4,0,472.00,747.00,1272.00,"",35.50
84,RK,Caleb Downs,DB,N/A,18,21.3,0,534.00,877.00,1709.00,"",35.30
85,BAL,Zay Flowers,WR,6.06,7,25.6,0,451.00,728.00,1272.00,"The Ravens disappointed in 2025, but Flowers still delivered a career year. He posted personal bests in targets (118), catches (86), and yards (1,211) while finishing as a top-10 fantasy WR for the first time. If Lamar Jackson stays healthy, Flowers has a good chance to repeat that level of production in 2026. Baltimore’s lack of pass-catching depth also points to another heavy role. The one variable is how Flowers is utilized in new OC Declan Doyle’s offense.",35.30
86,DEN,Jaylen Waddle,WR,7.07,12,27.3,0,450.00,718.00,1279.00,"Tyreek Hill missed most of 2025, but Waddle still could not recapture the production he posted over his first three seasons. Poor QB play drove much of that decline. Now, that aspect of his profile looks better after a March trade to Denver. He projects as a co- No. 1 WR alongside Courtland Sutton.",34.80
87,LAC,Ladd McConkey,WR,4.09,12,24.4,0,443.00,732.00,1311.00,"The sophomore slump hit McConkey hard. After posting an impressive 2.59 yards per route run as a rookie, McConeky fell to 1.35 YPRR in Year Two. Keenan Allen also out-targted McConkey in 2025. Allen is a free agent, so there's reason to think McConkey can rebound in 2026. He's still a talented 24-year-old WR, making him a solid buy-low candidate alongside new OC Mike McDaniel. ",34.80
88,PHI,A.J. Brown,WR,5.12,9,28.8,0,450.00,713.00,1227.00,"Brown posted his fourth consecutive season with 1,000-plus yards. He also scored 7 TDs for the third-straight season, but his overall fantasy scoring dropped by two points per game. Overall, Brown is still in his prime and locked into Philadelphia through the 2029 season. He remains a quality WR 2 with top-5 weekly upside. ",34.60
89,TEN,Kevin Winston Jr.,DB,N/A,10,22.3,0,520.00,862.00,1672.00,"",34.00
