Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
125,121.33,LB45,Tyrice Knight,SEA,25,121,-,92,,
126,122.67,DE (DL62),Carl Granderson,NO,-,123,-,94,,
127,124.00,DT (DL63),Chris Jones,KC,31,126,-,95,,
128,124.00,LB46,Demetrius Knight Jr,CIN,26,122,99,-,,
129,124.33,LB47,Danny Stutsman,NO,23,125,97,-,,
130,125.00,DE (DL64),Bradley Chubb,BUF,29,135,127,113,,
131,126.00,DT (DL65),Derrick Harmon,PIT,-,130,108,140,,
132,128.00,DT (DL66),Milton Williams,NE,-,132,101,-,,
133,129.00,LB48,Germaine Pratt,IND,29,137,139,111,,
134,129.00,LB49,SirVocea Dennis,TB,26,128,138,121,,
135,129.33,S (DB19),Kyle Dugger,PIT,29,133,-,104,,
136,130.33,S (DB20),Jaquan Brisker,PIT,26,134,-,106,,
137,131.00,S (DB21),Jalen Thompson,DAL,27,-,-,91,,
138,131.67,DT (DL67),Jonathan Allen,CIN,31,136,-,108,,
139,132.33,DE (DL68),Odafe Oweh,WAS,27,-,110,136,,
140,132.67,DE (DL69),Uchenna Nwosu,SEA,29,138,-,109,,
141,133.67,LB50,Ivan Pace Jr,MIN,25,140,-,110,,
142,135.67,S (DB22),Talanoa Hufanga,DEN,26,143,113,-,,
143,135.67,LB51,Jaylon Carlies,IND,24,142,-,114,,
144,137.00,S (DB23),Xavier Watts,ATL,24,144,116,-,,
145,137.67,LB52,Eric Wilson,MIN,31,-,111,-,,
146,138.00,S (DB24),DeShon Elliott,PIT,28,145,-,118,,
147,138.67,S (DB25),Josh Metellus,MIN,-,148,148,120,,
148,139.00,DL70,Gervon Dexter,CHI,24,147,119,-,,
149,139.67,DE (DL71),Josh Sweat,ARI,28,146,143,130,,
150,140.00,LB53,Logan Wilson,FA,29,118,-,-,,
151,141.33,S (DB26),Cole Bishop,BUF,-,-,122,-,,
152,141.67,S (DB27),Brandon Jones,DEN,27,150,-,124,,
153,142.00,LB54,Omar Speights,LAR,25,-,124,-,,
154,142.33,LB55,Demario Davis,NYJ,37,-,125,-,,
155,142.33,LB56,Drue Tranquill,KC,30,-,-,125,,
156,142.67,LB57,Alex Anzalone,TB,32,-,126,-,,
157,142.67,S (DB28),Jeremy Chinn,LV,28,-,-,126,,
158,142.67,LB58,Barrett Carter,CIN,23,141,136,-,,
159,143.33,DE (DL72),Kwity Paye,LV,27,-,-,128,,
160,143.33,S (DB29),Jordan Battle,CIN,25,-,128,-,,
161,143.67,S (DB30),Kerby Joseph,DET,-,-,-,129,,
162,144.00,LB59,Cody Simon,ARI,-,-,130,-,,
163,144.33,DE (DL73),Lukas Van Ness,GB,24,-,-,131,,
164,144.67,LB60,Pete Werner,NO,26,-,-,132,,
165,145.00,DT (DL74),Osa Odighizuwa,DAL,27,-,133,-,,
166,145.67,S (DB31),Tre'von Moehrig,CAR,-,-,135,-,,
167,145.67,DE (DL75),Malcolm Koonce,LV,-,-,-,135,,
168,146.33,LB61,Kenneth Murray,DAL,27,-,-,137,,
169,146.33,LB62,Dorian Williams,BUF,24,-,137,-,,
170,146.67,S (DB32),Jevon Holland,NYG,26,-,-,138,,
171,147.00,LB63,Devin White,LV,28,139,-,-,,
172,147.00,DT (DL76),Bryan Bresee,NO,24,-,-,139,,
173,147.33,DE (DL77),Harold Landry,FA,29,-,147,144,,
174,147.33,DE (DL78),Nic Scourton,CAR,21,-,140,-,,
175,147.67,S (DB33),Grant Delpit,CLE,27,-,-,141,,
176,148.00,LB64,Cody Barton,TEN,29,-,-,142,,
177,148.33,DE (DL79),Joey Bosa,BUF,30,-,-,143,,
178,148.67,S (DB34),Kevin Winston Jr,TEN,22,-,144,-,,
179,149.00,LB65,Kyzir White,ARI,29,-,-,145,,
180,149.00,S (DB35),Reed Blankenship,PHI,-,-,145,-,,
181,149.33,DT (DL80),Cameron Heyward,PIT,36,-,146,-,,
182,149.33,DT (DL81),Christian Barmore,NE,26,-,-,146,,
183,149.67,S (DB36),Dadrion Taylor-Demerson,ARI,25,-,-,147,,
184,149.67,S (DB37),Andrew Mukuba,PHI,23,-,149,149,,
185,150.00,S (DB38),Jaden Hicks,KC,-,-,-,148,,
186,150.33,LB66,Tatum Bethune,SF,25,149,-,-,,
187,150.67,LB67,Christian Harris,HOU,25,-,150,-,,
