PICK,VALUE,Decay,New Values,Spine,2025,2024,2023,Floors,Fractions,Monotone Rounded,Final Dollar Per Pick,12,,Pick,1,2,3,4,5,6,7,8,9,10,11,12,,,1
,,,,,,,,,,,,,,3,7,6,Jason,,,1200,,,,,,,,,
,,,,,,,,,,,,,,3,8,5,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,3,9,5,MaKayla,,,,,,,,,,,,
,,,,,,,,,,,,,,3,10,5,Joey,,,,,,,,,,,,
,,,,,,,,,,,,,,3,11,4,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,3,12,4,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,1,4,Joel,,,,,,,,,,,,
,,,,,,,,,,,,,,4,2,4,Blaine,,,,,,,,,,,,
,,,,,,,,,,,,,,4,3,3,Joey,,,,,,,,,,,,
,,,,,,,,,,,,,,4,4,3,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,5,3,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,6,3,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,7,3,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,4,8,3,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,4,9,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,10,2,Collin,,,,,,,,,,,,
,,,,,,,,,,,,,,4,11,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,4,12,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,5,1,2,Joel,,,,,,,,,,,,
,,,,,,,,,,,,,,5,2,2,Blaine,,,,,,,,,,,,
,,,,,,,,,,,,,,5,3,2,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,5,4,2,Roy,,,,,,,,,,,,
,,,,,,,,,,,,,,5,5,2,Collin,,,,,,,,,,,,
,,,,,,,,,,,,,,5,6,2,Jason,,,,,,,,,,,,
,,,,,,,,,,,,,,5,7,2,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,5,8,2,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,5,9,2,MaKayla,,,,,,,,,,,,
,,,,,,,,,,,,,,5,10,2,Collin,,,,,,,,,,,,
,,,,,,,,,,,,,,5,11,2,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,5,12,2,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,6,1,1,Joel,,,,,,,,,,,,
,,,,,,,,,,,,,,6,2,1,Blaine,,,,,,,,,,,,
,,,,,,,,,,,,,,6,3,1,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,6,4,1,Roy,,,,,,,,,,,,
,,,,,,,,,,,,,,6,5,1,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,6,6,1,Eric,,,,,,,,,,,,
,,,,,,,,,,,,,,6,7,1,Kich,,,,,,,,,,,,
,,,,,,,,,,,,,,6,8,1,Ty,,,,,,,,,,,,
,,,,,,,,,,,,,,6,9,1,MaKayla,,,,,,,,,,,,
,,,,,,,,,,,,,,6,10,1,Joey,,,,,,,,,,,,
,,,,,,,,,,,,,,6,11,1,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,6,12,1,Ed,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rank,Player,Pos,Composite,,,,
,,,,,,,,,,,,,,,,,,,,,,1,Jeremiyah Love,RB,6817,,,,
,,,,,,,,,,,,,,,,,,,,,,3,Carnell Tate,WR,5203,,,,
,,,,,,,,,,,,,,,,,,,,,,4,Fernando Mendoza,QB,5103,,,,
,,,,,,,,,,,,,,,,,,,,,,5,Makai Lemon,WR,5020,,,,
,,,,,,,,,,,,,,,,,,,,,,6,Jordyn Tyson,WR,4517,,,,
,,,,,,,,,,,,,,,,,,,,,,7,Sonny Styles,LB,4164,,,,
,,,,,,,,,,,,,,,,,,,,,,8,Kenyon Sadiq,TE,4025,,,,
,,,,,,,,,,,,,,,,,,,,,,9,Denzel Boston,WR,3650,,,,
,,,,,,,,,,,,,,,,,,,,,,10,Caleb Downs,S,3611,,,,
,,,,,,,,,,,,,,,,,,,,,,11,Arvell Reese,LB,3608,,,,
,,,,,,,,,,,,,,,,,,,,,,12,David Bailey,EDGE,3596,,,,
,,,,,,,,,,,,,,,,,,,,,,13,Rueben Bain Jr.,EDGE,3426,,,,
,,,,,,,,,,,,,,,,,,,,,,14,C.J. Allen,LB,3264,,,,
,,,,,,,,,,,,,,,,,,,,,,15,KC Concepcion,WR,3179,,,,
,,,,,,,,,,,,,,,,,,,,,,16,Jacob Rodriguez,LB,3162,,,,
,,,,,,,,,,,,,,,,,,,,,,17,Jonah Coleman,RB,3125,,,,
,,,,,,,,,,,,,,,,,,,,,,18,Dillon Thieneman,S,2971,,,,
,,,,,,,,,,,,,,,,,,,,,,19,Emmanuel McNeil-Warren,S,2963,,,,
,,,,,,,,,,,,,,,,,,,,,,20,Jadarian Price,RB,2953,,,,
,,,,,,,,,,,,,,,,,,,,,,21,Omar Cooper Jr.,WR,2807,,,,
,,,,,,,,,,,,,,,,,,,,,,22,Eli Stowers,TE,2696,,,,
,,,,,,,,,,,,,,,,,,,,,,23,Ty Simpson,QB,2672,,,,
,,,,,,,,,,,,,,,,,,,,,,24,Elijah Sarratt,WR,2480,,,,
,,,,,,,,,,,,,,,,,,,,,,25,Emmett Johnson,RB,2416,,,,
,,,,,,,,,,,,,,,,,,,,,,26,Nicholas Singleton,RB,2416,,,,
,,,,,,,,,,,,,,,,,,,,,,27,Trinidad Chambliss,QB,2109,,,,
,,,,,,,,,,,,,,,,,,,,,,28,Chris Brazzell II,WR,2106,,,,
,,,,,,,,,,,,,,,,,,,,,,29,Jake Golday,LB,2098,,,,
,,,,,,,,,,,,,,,,,,,,,,30,Chris Bell,WR,2078,,,,
,,,,,,,,,,,,,,,,,,,,,,31,Zachariah Branch,WR,2074,,,,
,,,,,,,,,,,,,,,,,,,,,,32,Mike Washington Jr.,RB,2066,,,,
,,,,,,,,,,,,,,,,,,,,,,33,Malachi Fields,WR,2045,,,,
,,,,,,,,,,,,,,,,,,,,,,34,T.J. Parker,EDGE,1977,,,,
,,,,,,,,,,,,,,,,,,,,,,35,Josiah Trotter,LB,1967,,,,
,,,,,,,,,,,,,,,,,,,,,,36,Joe Royer,TE,1962,,,,
,,,,,,,,,,,,,,,,,,,,,,37,Anthony Hill Jr.,LB,1961,,,,
,,,,,,,,,,,,,,,,,,,,,,38,Germie Bernard,WR,1910,,,,
,,,,,,,,,,,,,,,,,,,,,,39,Max Klare,TE,1873,,,,
,,,,,,,,,,,,,,,,,,,,,,40,Ja'Kobi Lane,WR,1822,,,,
,,,,,,,,,,,,,,,,,,,,,,41,Antonio Williams,WR,1741,,,,
,,,,,,,,,,,,,,,,,,,,,,42,Kaytron Allen,RB,1724,,,,
,,,,,,,,,,,,,,,,,,,,,,43,Jack Endries,TE,1660,,,,
,,,,,,,,,,,,,,,,,,,,,,44,Garrett Nussmeier,QB,1640,,,,
,,,,,,,,,,,,,,,,,,,,,,45,Demond Claiborne,RB,1577,,,,
,,,,,,,,,,,,,,,,,,,,,,46,Bryce Lance,WR,1565,,,,
,,,,,,,,,,,,,,,,,,,,,,47,Skyler Bell,WR,1552,,,,
,,,,,,,,,,,,,,,,,,,,,,48,Reggie Virgil,WR,1404,,,,
,,,,,,,,,,,,,,,,,,,,,,49,Seth McGowan,RB,1351,,,,
,,,,,,,,,,,,,,,,,,,,,,50,Carson Beck,QB,1344,,,,
,,,,,,,,,,,,,,,,,,,,,,51,Terion Stewart,RB,1299,,,,
,,,,,,,,,,,,,,,,,,,,,,52,Adam Randall,RB,1261,,,,
,,,,,,,,,,,,,,,,,,,,,,53,Michael Trigg,TE,1247,,,,
,,,,,,,,,,,,,,,,,,,,,,54,Eric McAlister,WR,1226,,,,
,,,,,,,,,,,,,,,,,,,,,,55,Ted Hurst,WR,1211,,,,
,,,,,,,,,,,,,,,,,,,,,,56,Le'Veon Moss,RB,1197,,,,
,,,,,,,,,,,,,,,,,,,,,,57,Brenen Thompson,WR,1184,,,,
,,,,,,,,,,,,,,,,,,,,,,58,Deion Burks,WR,1157,,,,
,,,,,,,,,,,,,,,,,,,,,,59,C.J. Daniels,WR,1143,,,,
,,,,,,,,,,,,,,,,,,,,,,60,Eli Raridon,TE,1078,,,,
,,,,,,,,,,,,,,,,,,,,,,61,J'Mari Taylor,RB,1069,,,,
,,,,,,,,,,,,,,,,,,,,,,62,Justin Joly,TE,1000,,,,
,,,,,,,,,,,,,,,,,,,,,,63,C.J. Donaldson,RB,987,,,,
,,,,,,,,,,,,,,,,,,,,,,64,Taylen Green,QB,952,,,,
,,,,,,,,,,,,,,,,,,,,,,65,Drew Allar,QB,913,,,,
,,,,,,,,,,,,,,,,,,,,,,66,Oscar Delp,TE,905,,,,
,,,,,,,,,,,,,,,,,,,,,,67,Noah Thomas,WR,842,,,,
,,,,,,,,,,,,,,,,,,,,,,68,Roman Hemby,RB,823,,,,
,,,,,,,,,,,,,,,,,,,,,,69,Marlin Klein,TE,820,,,,
,,,,,,,,,,,,,,,,,,,,,,70,Dane Key,WR,805,,,,
,,,,,,,,,,,,,,,,,,,,,,71,Josh Cameron,WR,782,,,,
,,,,,,,,,,,,,,,,,,,,,,72,Kevin Coleman Jr.,WR,736,,,,
,,,,,,,,,,,,,,,,,,,,,,73,Caleb Douglas,WR,733,,,,
,,,,,,,,,,,,,,,,,,,,,,74,Cade Klubnik,QB,700,,,,
,,,,,,,,,,,,,,,,,,,,,,75,Aaron Anderson,WR,649,,,,
,,,,,,,,,,,,,,,,,,,,,,76,Cole Payton,QB,636,,,,
,,,,,,,,,,,,,,,,,,,,,,78,Eric Rivers,WR,528,,,,
,,,,,,,,,,,,,,,,,,,,,,79,Desmond Reid,RB,473,,,,
,,,,,,,,,,,,,,,,,,,,,,80,Jam Miller,RB,435,,,,
