setting,host API value (league 1320092771247222784),repo registry value,value SERVED by /api/data?leagueKey=dynasty_new,status
scoring.idp_tkl_solo,<absent>,<registry stores no scoring>,1.33,MISMATCH
scoring.int,2.0,<registry stores no scoring>,1.0,MISMATCH
scoring.int_ret_yd,<absent>,<registry stores no scoring>,0.01,MISMATCH
scoring.kr_yd,<absent>,<registry stores no scoring>,0.03333333333333333,MISMATCH
scoring.pass_2pt,2.0,<registry stores no scoring>,2.0,MATCH
scoring.pass_att,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.pass_cmp,<absent>,<registry stores no scoring>,0.15,MISMATCH
scoring.pass_cmp_40p,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.pass_fd,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.pass_inc,<absent>,<registry stores no scoring>,-0.22,MISMATCH
scoring.pass_int,-1.0,<registry stores no scoring>,-4.0,MISMATCH
scoring.pass_int_td,<absent>,<registry stores no scoring>,-2.0,MISMATCH
scoring.pass_sack,<absent>,<registry stores no scoring>,-1.0,MISMATCH
scoring.pass_td,4.0,<registry stores no scoring>,6.0,MISMATCH
scoring.pass_td_40p,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.pass_yd,0.04,<registry stores no scoring>,0.03333333333333333,MISMATCH
scoring.pr_yd,<absent>,<registry stores no scoring>,0.03333333333333333,MISMATCH
scoring.pts_allow,<absent>,<registry stores no scoring>,-1.0,MISMATCH
scoring.pts_allow_0,10.0,<registry stores no scoring>,45.0,MISMATCH
scoring.pts_allow_14_20,1.0,<registry stores no scoring>,35.0,MISMATCH
scoring.pts_allow_1_6,7.0,<registry stores no scoring>,35.0,MISMATCH
scoring.pts_allow_21_27,0.0,<registry stores no scoring>,35.0,MISMATCH
scoring.pts_allow_28_34,-1.0,<registry stores no scoring>,35.0,MISMATCH
scoring.pts_allow_35p,-4.0,<registry stores no scoring>,35.0,MISMATCH
scoring.pts_allow_7_13,4.0,<registry stores no scoring>,35.0,MISMATCH
scoring.qb_hit,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.rec,1.0,<registry stores no scoring>,0.08,MISMATCH
scoring.rec_0_4,<absent>,<registry stores no scoring>,0.17,MISMATCH
scoring.rec_10_19,0.0,<registry stores no scoring>,0.67,MISMATCH
scoring.rec_20_29,0.0,<registry stores no scoring>,0.92,MISMATCH
scoring.rec_2pt,2.0,<registry stores no scoring>,2.0,MATCH
scoring.rec_30_39,0.0,<registry stores no scoring>,1.17,MISMATCH
scoring.rec_40p,<absent>,<registry stores no scoring>,1.92,MISMATCH
scoring.rec_5_9,0.0,<registry stores no scoring>,0.42,MISMATCH
scoring.rec_fd,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.rec_td,6.0,<registry stores no scoring>,6.0,MATCH
scoring.rec_td_40p,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.rec_yd,0.1,<registry stores no scoring>,0.1,MATCH
scoring.rush_2pt,2.0,<registry stores no scoring>,2.0,MATCH
scoring.rush_40p,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.rush_att,<absent>,<registry stores no scoring>,0.08,MISMATCH
scoring.rush_fd,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.rush_td,6.0,<registry stores no scoring>,6.0,MATCH
scoring.rush_td_40p,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.rush_yd,0.1,<registry stores no scoring>,0.1,MATCH
scoring.sack,1.0,<registry stores no scoring>,0.0,MISMATCH
scoring.sack_yd,<absent>,<registry stores no scoring>,0.01,MISMATCH
scoring.safe,2.0,<registry stores no scoring>,4.0,MISMATCH
scoring.st_ff,1.0,<registry stores no scoring>,4.25,MISMATCH
scoring.st_fum_rec,1.0,<registry stores no scoring>,3.19,MISMATCH
scoring.st_td,6.0,<registry stores no scoring>,6.0,MATCH
scoring.st_tkl_solo,<absent>,<registry stores no scoring>,1.33,MISMATCH
scoring.tkl,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.tkl_ast,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.tkl_loss,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.tkl_solo,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.xpm,1.0,<registry stores no scoring>,2.31,MISMATCH
scoring.xpmiss,-1.0,<registry stores no scoring>,-3.15,MISMATCH
scoring.yds_allow,<absent>,<registry stores no scoring>,-0.05,MISMATCH
scoring.yds_allow_0_100,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_100_199,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_200_299,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_300_349,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_350_399,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_400_449,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_450_499,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_500_549,<absent>,<registry stores no scoring>,0.0,MISMATCH
scoring.yds_allow_550p,<absent>,<registry stores no scoring>,0.0,MISMATCH
